,TIME,ID,VALUE
0,2009-01-03,active_addresses,115.55555555555554
1,2009-01-04,active_addresses,132.33333333333334
2,2009-01-05,active_addresses,117.125
3,2009-01-06,active_addresses,120.41666666666666
4,2009-01-07,active_addresses,124.66666666666666
5,2009-01-08,active_addresses,111.75
6,2009-01-09,active_addresses,79.04
7,2009-01-10,active_addresses,82.48
8,2009-01-11,active_addresses,57.08
9,2009-01-12,active_addresses,56.84
10,2009-01-13,active_addresses,77.0
11,2009-01-14,active_addresses,85.28
12,2009-01-15,active_addresses,81.44
13,2009-01-16,active_addresses,94.04
14,2009-01-17,active_addresses,157.84
15,2009-01-18,active_addresses,165.92
16,2009-01-19,active_addresses,269.12
17,2009-01-20,active_addresses,268.48
18,2009-01-21,active_addresses,218.28
19,2009-01-22,active_addresses,470.44
20,2009-01-23,active_addresses,266.76
21,2009-01-24,active_addresses,332.32
22,2009-01-25,active_addresses,335.84
23,2009-01-26,active_addresses,1245.56
24,2009-01-27,active_addresses,619.48
25,2009-01-28,active_addresses,561.24
26,2009-01-29,active_addresses,819.56
27,2009-01-30,active_addresses,800.64
28,2009-01-31,active_addresses,995.48
29,2009-02-01,active_addresses,960.8
30,2009-02-02,active_addresses,1206.48
31,2009-02-03,active_addresses,1678.44
32,2009-02-04,active_addresses,3485.32
33,2009-02-05,active_addresses,3720.84
34,2009-02-06,active_addresses,4144.36
35,2009-02-07,active_addresses,6826.68
36,2009-02-08,active_addresses,14465.52
37,2009-02-09,active_addresses,25172.2
38,2009-02-10,active_addresses,23958.16
39,2009-02-11,active_addresses,20220.44
40,2009-02-12,active_addresses,17862.56
41,2009-02-13,active_addresses,15013.08
42,2009-02-14,active_addresses,12175.6
43,2009-02-15,active_addresses,12129.8
44,2009-02-16,active_addresses,11784.36
45,2009-02-17,active_addresses,12294.0
46,2009-02-18,active_addresses,13956.0
47,2009-02-19,active_addresses,14851.72
48,2009-02-20,active_addresses,14679.92
49,2009-02-21,active_addresses,15381.0
50,2009-02-22,active_addresses,18672.16
51,2009-02-23,active_addresses,26525.6
52,2009-02-24,active_addresses,33931.88
53,2009-02-25,active_addresses,31941.04
54,2009-02-26,active_addresses,38324.64
55,2009-02-27,active_addresses,43314.32
56,2009-02-28,active_addresses,36443.6
57,2009-03-01,active_addresses,42800.6
58,2009-03-02,active_addresses,35194.72
59,2009-03-03,active_addresses,37502.88
60,2009-03-04,active_addresses,40513.28
61,2009-03-05,active_addresses,51199.48
62,2009-03-06,active_addresses,51135.48
63,2009-03-07,active_addresses,54759.92
64,2009-03-08,active_addresses,83294.0
65,2009-03-09,active_addresses,84394.68
66,2009-03-10,active_addresses,77100.48
67,2009-03-11,active_addresses,64298.4
68,2009-03-12,active_addresses,59916.16
69,2009-03-13,active_addresses,63801.12
70,2009-03-14,active_addresses,72573.56
71,2009-03-15,active_addresses,68294.88
72,2009-03-16,active_addresses,77270.04
73,2009-03-17,active_addresses,99730.88
74,2009-03-18,active_addresses,156698.76
75,2009-03-19,active_addresses,136180.8
76,2009-03-20,active_addresses,131505.24
77,2009-03-21,active_addresses,149625.48
78,2009-03-22,active_addresses,182145.68
79,2009-03-23,active_addresses,163055.0
80,2009-03-24,active_addresses,159419.44
81,2009-03-25,active_addresses,152214.44
82,2009-03-26,active_addresses,166065.12
83,2009-03-27,active_addresses,163276.96
84,2009-03-28,active_addresses,146701.24
85,2009-03-29,active_addresses,160773.96
86,2009-03-30,active_addresses,160458.04
87,2009-03-31,active_addresses,169154.08
88,2009-04-01,active_addresses,172016.32
89,2009-04-02,active_addresses,183366.12
90,2009-04-03,active_addresses,191294.32
91,2009-04-04,active_addresses,195584.84
92,2009-04-05,active_addresses,197538.6
93,2009-04-06,active_addresses,219354.92
94,2009-04-07,active_addresses,208303.16
95,2009-04-08,active_addresses,214900.24
96,2009-04-09,active_addresses,217343.08
97,2009-04-10,active_addresses,234108.52
98,2009-04-11,active_addresses,246383.76
99,2009-04-12,active_addresses,246130.8947368421
100,2009-04-13,active_addresses,242505.08
101,2009-04-14,active_addresses,243861.1666666667
102,2009-04-15,active_addresses,261707.0
103,2009-04-16,active_addresses,307469.28
104,2009-04-17,active_addresses,329850.16
105,2009-04-18,active_addresses,383065.68
106,2009-04-19,active_addresses,351295.16
107,2009-04-20,active_addresses,428723.4
108,2009-04-21,active_addresses,422665.68
109,2009-04-22,active_addresses,381147.8
110,2009-04-23,active_addresses,394100.28
111,2009-04-24,active_addresses,392470.52
112,2009-04-25,active_addresses,411461.24
113,2009-04-26,active_addresses,445109.72
114,2009-04-27,active_addresses,383877.8
115,2009-04-28,active_addresses,403847.96
116,2009-04-29,active_addresses,413563.96
117,2009-04-30,active_addresses,431963.68
118,2009-05-01,active_addresses,468973.52
119,2009-05-02,active_addresses,495841.76
120,2009-05-03,active_addresses,547068.96
121,2009-05-04,active_addresses,525376.44
122,2009-05-05,active_addresses,537478.16
123,2009-05-06,active_addresses,558877.8
124,2009-05-07,active_addresses,561594.56
125,2009-05-08,active_addresses,586040.92
126,2009-05-09,active_addresses,582214.5
127,2009-05-10,active_addresses,652893.08
128,2009-05-11,active_addresses,610844.4
129,2009-05-12,active_addresses,559659.08
130,2009-05-13,active_addresses,541315.84
131,2009-05-14,active_addresses,577313.8
132,2009-05-15,active_addresses,554215.92
133,2009-05-16,active_addresses,644552.72
134,2009-05-17,active_addresses,647065.9285714286
135,2009-05-18,active_addresses,846527.12
136,2009-05-19,active_addresses,893688.44
137,2009-05-20,active_addresses,864394.76
138,2009-05-21,active_addresses,659567.4
139,2009-05-22,active_addresses,608465.28
140,2009-05-23,active_addresses,423357.6
141,2009-05-24,active_addresses,490216.6
142,2009-05-25,active_addresses,471520.56
143,2009-05-26,active_addresses,463654.76
144,2009-05-27,active_addresses,476940.28
145,2009-05-28,active_addresses,498549.12
146,2009-05-29,active_addresses,499787.32
147,2009-05-30,active_addresses,506543.6
148,2009-05-31,active_addresses,535670.56
149,2009-06-01,active_addresses,547062.64
150,2009-06-02,active_addresses,518630.12
151,2009-06-03,active_addresses,506986.56
152,2009-06-04,active_addresses,477888.12
153,2009-06-05,active_addresses,523933.88
154,2009-06-06,active_addresses,545911.8
155,2009-06-07,active_addresses,595260.36
156,2009-06-08,active_addresses,604421.52
157,2009-06-09,active_addresses,667262.8
158,2009-06-10,active_addresses,672037.08
159,2009-06-11,active_addresses,703766.04
160,2009-06-12,active_addresses,604638.88
161,2009-06-13,active_addresses,592167.92
162,2009-06-14,active_addresses,606279.4
163,2009-06-15,active_addresses,574404.28
164,2009-06-16,active_addresses,592963.36
165,2009-06-17,active_addresses,590206.16
166,2009-06-18,active_addresses,583908.2
167,2009-06-19,active_addresses,560857.24
168,2009-06-20,active_addresses,602667.72
169,2009-06-21,active_addresses,627483.4
170,2009-06-22,active_addresses,591385.12
171,2009-06-23,active_addresses,645139.52
172,2009-06-24,active_addresses,750097.4
173,2009-06-25,active_addresses,697949.48
174,2009-06-26,active_addresses,736839.16
175,2009-06-27,active_addresses,771272.12
176,2009-06-28,active_addresses,822120.04
177,2009-06-29,active_addresses,810538.32
178,2009-06-30,active_addresses,805519.52
179,2009-07-01,active_addresses,763967.92
180,2009-07-02,active_addresses,841907.16
181,2009-07-03,active_addresses,861827.2
182,2009-07-04,active_addresses,943187.88
183,2009-07-05,active_addresses,920354.68
184,2009-07-06,active_addresses,904150.5
185,2009-07-07,active_addresses,942171.04
186,2009-07-08,active_addresses,933768.08
187,2009-07-09,active_addresses,925842.04
188,2009-07-10,active_addresses,795035.9
189,2009-07-11,active_addresses,83.0
190,2009-07-12,active_addresses,77.0
191,2009-07-13,active_addresses,78.0
192,2009-07-14,active_addresses,69.0
193,2009-07-15,active_addresses,45.0
194,2009-07-16,active_addresses,71.0
195,2009-07-17,active_addresses,47.0
196,2009-07-18,active_addresses,4.0
197,2009-07-19,active_addresses,70.0
198,2009-07-20,active_addresses,192.0
199,2009-07-21,active_addresses,82.0
200,2009-07-22,active_addresses,60.0
201,2009-07-23,active_addresses,76.0
202,2009-07-24,active_addresses,73.0
203,2009-07-25,active_addresses,32.0
204,2009-07-26,active_addresses,21.0
205,2009-07-27,active_addresses,74.0
206,2009-07-28,active_addresses,41.0
207,2009-07-29,active_addresses,22.0
208,2009-07-30,active_addresses,17.0
209,2009-07-31,active_addresses,17.0
210,2009-08-01,active_addresses,28.0
211,2009-08-02,active_addresses,23.0
212,2009-08-03,active_addresses,12.0
213,2009-08-04,active_addresses,81.0
214,2009-08-05,active_addresses,87.0
215,2009-08-06,active_addresses,90.0
216,2009-08-07,active_addresses,192.0
217,2009-08-08,active_addresses,80.0
218,2009-08-09,active_addresses,101.0
219,2009-08-10,active_addresses,75.0
220,2009-08-11,active_addresses,70.0
221,2009-08-12,active_addresses,63.0
222,2009-08-13,active_addresses,85.0
223,2009-08-14,active_addresses,63.0
224,2009-08-15,active_addresses,26.0
225,2009-08-16,active_addresses,19.0
226,2009-08-17,active_addresses,17.0
227,2009-08-18,active_addresses,10.0
228,2009-08-19,active_addresses,18.0
229,2009-08-20,active_addresses,22.0
230,2009-08-21,active_addresses,14.0
231,2009-08-22,active_addresses,7.0
232,2009-08-23,active_addresses,15.0
233,2009-08-24,active_addresses,15.0
234,2009-08-25,active_addresses,50.0
235,2009-08-26,active_addresses,96.0
